% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.396983841e+02 +6.396983841e+02 +1.776083841e+02 +1.776083841e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
9 +5.182077137e+02 +5.182077137e+02 +5.611771367e+01 +5.611771367e+01 +1.2226e+00 -9.2075e-01 -7.6792e-01 -2.2041e+00 -8.1277e-01 -2.2566e-01 +8.5159e-01 -1.1864e-01 +1.1843e+00 -2.9019e-01 +2.4980e-01 -1.3599e+00 -1.5506e-01 -1.5209e+00 +3.0835e-01 -3.7198e-01 +5.0956e-01 +1.5206e+00 +1.1645e+00 +1.2026e+00
21 +4.942909257e+02 +4.942909257e+02 +3.220092566e+01 +3.220092566e+01 +2.0626e+00 -6.3656e-01 -6.4359e-01 -1.6820e+00 -1.1140e+00 -2.1915e+00 +1.1723e+00 +1.1897e+00 +5.5601e-01 -5.5687e-02 -1.9745e-01 -4.0450e+00 -8.5708e-01 -4.7865e-01 +9.5758e-01 +2.0542e-01 +4.6606e-01 +1.5869e+00 +1.7373e+00 +7.2874e-01
300 +4.549454771e+02 +4.549454771e+02 -7.144522862e+00 -7.144522862e+00 +2.1230e+00 +8.4670e-01 -2.1640e+00 -1.6875e+00 +2.1602e+00 +9.7789e-01 +3.3286e-01 -1.4914e+00 +1.3349e+00 +2.2249e+00 +5.6649e-02 -7.7291e-01 -1.1746e+00 -1.9258e+00 -9.3217e-01 -2.4729e+00 -3.9496e-01 +3.9036e+00 +1.4878e+00 +3.1994e-01
318 +4.454516851e+02 +4.454516851e+02 -1.663831486e+01 -1.663831486e+01 +3.3342e-01 +8.5823e-01 -1.4817e+00 -5.5332e-01 +2.1681e+00 -7.5102e-01 -3.0193e-01 -5.5049e-01 +1.7136e+00 +1.6350e+00 -4.0756e-01 -4.0971e-01 +3.0214e-01 -3.1493e+00 +9.3907e-01 -1.9232e+00 -1.4625e+00 +3.2960e+00 +5.3641e-01 +1.9397e+00
698 +4.116093596e+02 +4.116093596e+02 -5.048064041e+01 -5.048064041e+01 +2.8497e-01 +1.6209e+00 +6.9821e-01 -3.0867e+00 -9.0021e-03 -3.0746e+00 +2.3672e+00 +1.7842e+00 -2.3708e+00 -2.2144e+00 +1.4248e+00 -4.2225e+00 +1.2278e-01 -3.2721e+00 -6.2111e-01 -3.2048e+00 +3.6130e-01 +4.1839e+00 +9.3262e-02 +1.5173e+00
707 +4.045130992e+02 +4.045130992e+02 -5.757690077e+01 -5.757690077e+01 +2.9860e-01 -6.8508e-01 +1.1478e+00 -2.8544e+00 +3.9798e-02 -3.7070e+00 +1.8540e+00 +1.3962e+00 -1.4650e+00 -1.5230e+00 +1.7606e+00 -4.3221e+00 -4.4203e-01 -3.5597e+00 -2.0017e-01 -3.0320e+00 -1.2640e+00 +2.8840e+00 -7.2310e-02 +9.5357e-01
715 +3.911508004e+02 +3.911508004e+02 -7.093919961e+01 -7.093919961e+01 -7.4273e-02 -8.9547e-01 +4.4197e-01 -1.5790e+00 +1.3369e+00 -1.4708e+00 +2.2778e+00 +2.4782e+00 -6.7251e-01 -1.6362e+00 +2.3251e+00 -4.7985e+00 -8.2039e-01 -2.6575e+00 -1.5199e+00 -4.3280e+00 -1.4150e+00 +1.9254e+00 -1.1585e-01 +1.0911e+00
1076 +3.786466989e+02 +3.786466989e+02 -8.344330106e+01 -8.344330106e+01 +1.0720e-01 +1.0981e+00 -1.9915e+00 -5.3500e-01 +2.1080e+00 +8.8760e-01 +2.3477e+00 +5.3273e-01 -5.6132e-01 +1.8282e+00 +2.0303e+00 -7.5295e-01 -8.6605e-01 -3.8373e+00 +1.5253e+00 -2.3701e+00 -1.8565e+00 +3.3101e+00 +9.6904e-01 +6.6295e-01
1171 +3.613835178e+02 +3.613835178e+02 -1.007064822e+02 -1.007064822e+02 +1.2372e+00 +2.4563e+00 +8.3821e-01 -7.7729e-01 -2.3359e+00 +2.4268e+00 +1.7541e+00 +1.5675e+00 -1.5941e+00 +4.0978e+00 +1.7350e+00 -4.4667e+00 -1.4557e+00 -2.0203e+00 -2.0498e-01 -3.1753e+00 -1.8100e+00 +1.8781e+00 +2.4552e+00 +1.5855e+00
