% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
82 +1.463873141e+02 +1.463873141e+02 +1.371773141e+02 +1.371773141e+02 +6.2446e+00 +1.1307e+00 -1.0244e+01 -1.0863e+01 -1.2702e+01 -3.2149e+00 +1.9027e+00 -2.7284e+00 +6.5250e+00 -1.9242e+01 -2.7404e+00 -2.7624e+00 +1.0985e+01 +9.5062e+00 -1.4506e+00 -9.7045e-01 +8.8675e+00 +1.3579e+01 -5.4253e+00 +5.6764e+00
96 +1.342769728e+02 +1.342769728e+02 +1.250669728e+02 +1.250669728e+02 +6.0307e+00 +9.6769e-01 -9.8492e+00 -1.0989e+01 -1.1440e+01 -8.0890e-01 +9.1496e-01 -1.4243e+00 +5.4882e+00 -1.8566e+01 -2.3923e+00 -2.3055e+00 +9.8926e+00 +1.0089e+01 -1.9848e+00 -2.0336e+00 +7.9241e+00 +1.2429e+01 -6.4543e+00 +5.3124e+00
105 +1.259727080e+02 +1.259727080e+02 +1.167627080e+02 +1.167627080e+02 +7.9867e+00 +8.1928e-01 -1.2220e+01 -1.3719e+01 -1.5232e+01 +7.8535e-02 +1.6810e+00 -2.1903e+00 +7.7179e+00 -2.4464e+01 -1.6895e+00 -2.1655e+00 +1.2873e+01 +1.2671e+01 -3.1101e+00 -3.7794e+00 +9.4557e+00 +1.5529e+01 -7.7388e+00 +6.3121e+00
112 +1.192221960e+02 +1.192221960e+02 +1.100121960e+02 +1.100121960e+02 +8.0407e+00 +2.2195e+00 -1.1406e+01 -1.0823e+01 -1.2184e+01 +2.8998e-01 +3.8698e-01 -1.7208e+00 +5.7107e+00 -2.0820e+01 -2.6081e+00 -3.1063e+00 +9.6428e+00 +1.2235e+01 -2.6732e+00 -3.2741e+00 +9.3186e+00 +1.2310e+01 -6.2483e+00 +5.3387e+00
122 +1.110636424e+02 +1.110636424e+02 +1.018536424e+02 +1.018536424e+02 +8.8271e+00 +1.4179e+00 -1.3428e+01 -1.1157e+01 -1.3347e+01 +1.1496e+00 +5.5875e-01 -1.8013e+00 +6.5475e+00 -2.6360e+01 -3.0887e+00 -3.8528e+00 +1.1478e+01 +1.4928e+01 -3.4626e+00 -3.5379e+00 +1.1313e+01 +1.5586e+01 -8.4644e+00 +7.5813e+00
136 +1.032108979e+02 +1.032108979e+02 +9.400089786e+01 +9.400089786e+01 +9.5406e+00 +2.4884e+00 -1.0280e+01 -1.2656e+01 -1.3868e+01 +1.1334e+00 -5.7635e-01 -2.4062e+00 +7.2056e+00 -2.1813e+01 -3.9013e+00 -3.1677e+00 +1.1362e+01 +1.2905e+01 -3.3608e+00 -6.4001e+00 +1.1260e+01 +1.4713e+01 -6.1576e+00 +8.1126e+00
141 +9.981112023e+01 +9.981112023e+01 +9.060112023e+01 +9.060112023e+01 +9.3742e+00 +1.1878e+00 -1.1072e+01 -1.3435e+01 -1.2831e+01 +2.7725e+00 -1.6446e+00 -4.0954e-01 +5.6845e+00 -2.4121e+01 -4.6614e+00 -2.6080e+00 +1.1039e+01 +1.2108e+01 -3.5899e+00 -4.9771e+00 +1.1103e+01 +1.2105e+01 -7.0903e+00 +8.4555e+00
146 +9.053198707e+01 +9.053198707e+01 +8.132198707e+01 +8.132198707e+01 +8.4604e+00 -1.5866e-01 -1.0859e+01 -1.1305e+01 -1.3427e+01 +3.2539e+00 -4.6952e-01 -2.4161e+00 +4.4047e+00 -2.2186e+01 -6.1313e+00 -2.9864e+00 +1.0731e+01 +1.1741e+01 -7.4235e+00 -6.7427e+00 +1.1085e+01 +1.2068e+01 -7.1397e+00 +8.0323e+00
154 +8.412348652e+01 +8.412348652e+01 +7.491348652e+01 +7.491348652e+01 +9.0027e+00 -7.2649e-01 -1.2481e+01 -8.9751e+00 -1.3022e+01 +4.5366e+00 +1.5581e+00 -7.8735e-01 +1.9910e+00 -2.1008e+01 -6.1583e+00 -3.4551e+00 +9.7713e+00 +9.7041e+00 -5.6355e+00 -7.8445e+00 +1.1970e+01 +1.1249e+01 -8.0613e+00 +7.9225e+00
166 +8.179382921e+01 +8.179382921e+01 +7.258382921e+01 +7.258382921e+01 +7.5882e+00 -8.4191e-01 -6.9935e+00 -6.5947e+00 -1.1327e+01 +3.1767e+00 +4.1116e+00 -1.9647e+00 +6.3339e+00 -1.5746e+01 -5.0052e+00 -2.4375e+00 +7.1251e+00 +1.0613e+01 -4.1978e+00 -3.8812e+00 +9.2669e+00 +9.9969e+00 -5.5496e+00 +4.9195e+00
