% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.899082053e+02 +7.899082053e+02 +7.806982053e+02 +7.806982053e+02
2 +7.740484397e+02 +7.740484397e+02 +7.648384397e+02 +7.648384397e+02
9 +7.516391987e+02 +7.516391987e+02 +7.424291987e+02 +7.424291987e+02
13 +7.028332693e+02 +7.028332693e+02 +6.936232693e+02 +6.936232693e+02
27 +6.866536686e+02 +6.866536686e+02 +6.774436686e+02 +6.774436686e+02
36 +6.527971436e+02 +6.527971436e+02 +6.435871436e+02 +6.435871436e+02
37 +6.370197522e+02 +6.370197522e+02 +6.278097522e+02 +6.278097522e+02
42 +6.213365826e+02 +6.213365826e+02 +6.121265826e+02 +6.121265826e+02
46 +6.010132227e+02 +6.010132227e+02 +5.918032227e+02 +5.918032227e+02
58 +5.855886066e+02 +5.855886066e+02 +5.763786066e+02 +5.763786066e+02
62 +5.747175676e+02 +5.747175676e+02 +5.655075676e+02 +5.655075676e+02
76 +5.217773084e+02 +5.217773084e+02 +5.125673084e+02 +5.125673084e+02
82 +5.037330267e+02 +5.037330267e+02 +4.945230267e+02 +4.945230267e+02
87 +4.744787573e+02 +4.744787573e+02 +4.652687573e+02 +4.652687573e+02
92 +4.512836164e+02 +4.512836164e+02 +4.420736164e+02 +4.420736164e+02
96 +4.222625871e+02 +4.222625871e+02 +4.130525871e+02 +4.130525871e+02
102 +4.096722036e+02 +4.096722036e+02 +4.004622036e+02 +4.004622036e+02
110 +3.916124597e+02 +3.916124597e+02 +3.824024597e+02 +3.824024597e+02
115 +3.874325611e+02 +3.874325611e+02 +3.782225611e+02 +3.782225611e+02
119 +3.699158232e+02 +3.699158232e+02 +3.607058232e+02 +3.607058232e+02
122 +3.520764755e+02 +3.520764755e+02 +3.428664755e+02 +3.428664755e+02
138 +3.356053835e+02 +3.356053835e+02 +3.263953835e+02 +3.263953835e+02
142 +3.253148000e+02 +3.253148000e+02 +3.161048000e+02 +3.161048000e+02
146 +3.124725212e+02 +3.124725212e+02 +3.032625212e+02 +3.032625212e+02
155 +2.787054802e+02 +2.787054802e+02 +2.694954802e+02 +2.694954802e+02
165 +2.699760559e+02 +2.699760559e+02 +2.607660559e+02 +2.607660559e+02
168 +2.541085669e+02 +2.541085669e+02 +2.448985669e+02 +2.448985669e+02
175 +2.427201874e+02 +2.427201874e+02 +2.335101874e+02 +2.335101874e+02
179 +2.259746046e+02 +2.259746046e+02 +2.167646046e+02 +2.167646046e+02
188 +2.192520193e+02 +2.192520193e+02 +2.100420193e+02 +2.100420193e+02
198 +2.093434346e+02 +2.093434346e+02 +2.001334346e+02 +2.001334346e+02
199 +1.998505777e+02 +1.998505777e+02 +1.906405777e+02 +1.906405777e+02
204 +1.926052672e+02 +1.926052672e+02 +1.833952672e+02 +1.833952672e+02
220 +1.878618543e+02 +1.878618543e+02 +1.786518543e+02 +1.786518543e+02
235 +1.781103214e+02 +1.781103214e+02 +1.689003214e+02 +1.689003214e+02
237 +1.748258419e+02 +1.748258419e+02 +1.656158419e+02 +1.656158419e+02
245 +1.732325441e+02 +1.732325441e+02 +1.640225441e+02 +1.640225441e+02
255 +1.670192596e+02 +1.670192596e+02 +1.578092596e+02 +1.578092596e+02
258 +1.552809398e+02 +1.552809398e+02 +1.460709398e+02 +1.460709398e+02
267 +1.542804935e+02 +1.542804935e+02 +1.450704935e+02 +1.450704935e+02
284 +1.446332938e+02 +1.446332938e+02 +1.354232938e+02 +1.354232938e+02
289 +1.365747254e+02 +1.365747254e+02 +1.273647254e+02 +1.273647254e+02
299 +1.309105865e+02 +1.309105865e+02 +1.217005865e+02 +1.217005865e+02
304 +1.238341076e+02 +1.238341076e+02 +1.146241076e+02 +1.146241076e+02
319 +1.173475075e+02 +1.173475075e+02 +1.081375075e+02 +1.081375075e+02
330 +1.101404339e+02 +1.101404339e+02 +1.009304339e+02 +1.009304339e+02
332 +1.037741934e+02 +1.037741934e+02 +9.456419338e+01 +9.456419338e+01
339 +9.462952428e+01 +9.462952428e+01 +8.541952428e+01 +8.541952428e+01
379 +9.188025575e+01 +9.188025575e+01 +8.267025575e+01 +8.267025575e+01
387 +8.650494867e+01 +8.650494867e+01 +7.729494867e+01 +7.729494867e+01
402 +7.865560875e+01 +7.865560875e+01 +6.944560875e+01 +6.944560875e+01
410 +7.429030025e+01 +7.429030025e+01 +6.508030025e+01 +6.508030025e+01
413 +7.151055109e+01 +7.151055109e+01 +6.230055109e+01 +6.230055109e+01
414 +7.030102108e+01 +7.030102108e+01 +6.109102108e+01 +6.109102108e+01
420 +6.327334132e+01 +6.327334132e+01 +5.406334132e+01 +5.406334132e+01
423 +6.110957295e+01 +6.110957295e+01 +5.189957295e+01 +5.189957295e+01
438 +5.929283297e+01 +5.929283297e+01 +5.008283297e+01 +5.008283297e+01
442 +5.861110324e+01 +5.861110324e+01 +4.940110324e+01 +4.940110324e+01
447 +5.440957950e+01 +5.440957950e+01 +4.519957950e+01 +4.519957950e+01
458 +4.836052115e+01 +4.836052115e+01 +3.915052115e+01 +3.915052115e+01
463 +4.615470615e+01 +4.615470615e+01 +3.694470615e+01 +3.694470615e+01
465 +4.144515892e+01 +4.144515892e+01 +3.223515892e+01 +3.223515892e+01
467 +4.010459138e+01 +4.010459138e+01 +3.089459138e+01 +3.089459138e+01
472 +3.880444567e+01 +3.880444567e+01 +2.959444567e+01 +2.959444567e+01
480 +3.775050971e+01 +3.775050971e+01 +2.854050971e+01 +2.854050971e+01
