% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
11673 +7.075437990e+01 +7.075437990e+01 +1.581437990e+01 +1.581437990e+01 -5.3874e+00 -1.7306e+00 +2.0920e-02 +6.1455e+00 -1.7560e+00
11676 +6.904679508e+01 +6.904679508e+01 +1.410679508e+01 +1.410679508e+01 -5.1322e+00 -1.6805e+00 +2.3188e-02 +5.9383e+00 -1.3634e+00
11692 +6.580420323e+01 +6.580420323e+01 +1.086420323e+01 +1.086420323e+01 -5.0585e+00 -1.6651e+00 +2.3689e-02 +5.8799e+00 -1.2488e+00
11713 +6.222896431e+01 +6.222896431e+01 +7.288964310e+00 +7.288964310e+00 -4.8235e+00 -1.6194e+00 +2.6089e-02 +5.6909e+00 -8.8797e-01
11767 +5.955922600e+01 +5.955922600e+01 +4.619226002e+00 +4.619226002e+00 -4.5008e+00 -1.5562e+00 +3.2039e-02 +5.4331e+00 -3.9185e-01
11774 +5.783561484e+01 +5.783561484e+01 +2.895614844e+00 +2.895614844e+00 -4.6584e+00 -1.5864e+00 +3.0437e-02 +5.5600e+00 -6.3386e-01
11783 +5.743076877e+01 +5.743076877e+01 +2.490768775e+00 +2.490768775e+00 -4.5471e+00 -1.5648e+00 +3.0929e-02 +5.4707e+00 -4.6285e-01
11787 +5.377236309e+01 +5.377236309e+01 -1.167636907e+00 -1.167636907e+00 -4.6634e+00 -1.5879e+00 +3.0107e-02 +5.5663e+00 -6.4021e-01
11801 +5.352141935e+01 +5.352141935e+01 -1.418580648e+00 -1.418580648e+00 -4.4215e+00 -1.5404e+00 +3.4247e-02 +5.3727e+00 -2.6716e-01
11803 +5.236413223e+01 +5.236413223e+01 -2.575867774e+00 -2.575867774e+00 -4.2773e+00 -1.5121e+00 +3.4545e-02 +5.2589e+00 -4.5478e-02
11835 +4.957485414e+01 +4.957485414e+01 -5.365145864e+00 -5.365145864e+00 -4.3616e+00 -1.5274e+00 +2.9859e-02 +5.3315e+00 -1.7558e-01
11843 +4.868650679e+01 +4.868650679e+01 -6.253493208e+00 -6.253493208e+00 -4.4612e+00 -1.5479e+00 +2.8369e-02 +5.4100e+00 -3.3078e-01
11854 +4.656303141e+01 +4.656303141e+01 -8.376968588e+00 -8.376968588e+00 -4.4577e+00 -1.5471e+00 +2.8750e-02 +5.4099e+00 -3.2533e-01
11865 +4.560229299e+01 +4.560229299e+01 -9.337707008e+00 -9.337707008e+00 -4.3518e+00 -1.5264e+00 +3.0523e-02 +5.3282e+00 -1.6250e-01
11910 +4.458967239e+01 +4.458967239e+01 -1.035032761e+01 -1.035032761e+01 -4.1840e+00 -1.4920e+00 +2.7348e-02 +5.1987e+00 +9.2002e-02
11924 +4.363696783e+01 +4.363696783e+01 -1.130303217e+01 -1.130303217e+01 -4.3677e+00 -1.5283e+00 +2.7392e-02 +5.3438e+00 -1.8881e-01
11956 +4.256565169e+01 +4.256565169e+01 -1.237434831e+01 -1.237434831e+01 -4.3682e+00 -1.5290e+00 +2.5956e-02 +5.3484e+00 -1.9099e-01
12083 +4.156054218e+01 +4.156054218e+01 -1.337945782e+01 -1.337945782e+01 -4.3100e+00 -1.5158e+00 +1.7055e-02 +5.3045e+00 -1.1075e-01
12117 +4.061460764e+01 +4.061460764e+01 -1.432539236e+01 -1.432539236e+01 -4.2222e+00 -1.4961e+00 +5.5855e-03 +5.2350e+00 +9.8674e-03
12138 +3.954790825e+01 +3.954790825e+01 -1.539209175e+01 -1.539209175e+01 -4.0884e+00 -1.4653e+00 -1.2761e-02 +5.1302e+00 +1.9166e-01
12173 +3.883458503e+01 +3.883458503e+01 -1.610541497e+01 -1.610541497e+01 -3.9881e+00 -1.4427e+00 -2.8560e-02 +5.0507e+00 +3.2684e-01
12219 +3.783483416e+01 +3.783483416e+01 -1.710516584e+01 -1.710516584e+01 -3.8566e+00 -1.4116e+00 -4.8850e-02 +4.9439e+00 +5.0412e-01
12282 +3.708272283e+01 +3.708272283e+01 -1.785727717e+01 -1.785727717e+01 -3.7437e+00 -1.3853e+00 -6.6236e-02 +4.8499e+00 +6.5422e-01
12532 +3.622624245e+01 +3.622624245e+01 -1.871375755e+01 -1.871375755e+01 -3.7338e+00 -1.3839e+00 -7.9756e-02 +4.8425e+00 +6.5642e-01
12645 +3.541621386e+01 +3.541621386e+01 -1.952378614e+01 -1.952378614e+01 -3.7253e+00 -1.3831e+00 -9.6021e-02 +4.8345e+00 +6.5318e-01
12701 +3.464618313e+01 +3.464618313e+01 -2.029381687e+01 -2.029381687e+01 -3.7148e+00 -1.3824e+00 -1.1319e-01 +4.8284e+00 +6.5401e-01
12713 +3.379217843e+01 +3.379217843e+01 -2.114782157e+01 -2.114782157e+01 -3.6969e+00 -1.3806e+00 -1.4171e-01 +4.8127e+00 +6.5341e-01
12733 +3.260240801e+01 +3.260240801e+01 -2.233759199e+01 -2.233759199e+01 -3.6748e+00 -1.3794e+00 -1.7487e-01 +4.7991e+00 +6.5590e-01
12746 +3.143289675e+01 +3.143289675e+01 -2.350710325e+01 -2.350710325e+01 -3.6459e+00 -1.3777e+00 -2.2049e-01 +4.7768e+00 +6.5859e-01
13005 +3.084486666e+01 +3.084486666e+01 -2.409513334e+01 -2.409513334e+01 -3.6196e+00 -1.3800e+00 -2.5453e-01 +4.7570e+00 +6.7092e-01
13036 +3.004853216e+01 +3.004853216e+01 -2.489146784e+01 -2.489146784e+01 -3.6027e+00 -1.3844e+00 -2.7479e-01 +4.7470e+00 +6.8152e-01
13052 +2.935513276e+01 +2.935513276e+01 -2.558486724e+01 -2.558486724e+01 -3.5881e+00 -1.3878e+00 -2.9408e-01 +4.7361e+00 +6.9026e-01
13065 +2.867821131e+01 +2.867821131e+01 -2.626178869e+01 -2.626178869e+01 -3.5561e+00 -1.3946e+00 -3.3529e-01 +4.7124e+00 +7.0745e-01
13086 +2.782554989e+01 +2.782554989e+01 -2.711445011e+01 -2.711445011e+01 -3.4860e+00 -1.4094e+00 -4.2418e-01 +4.6616e+00 +7.4818e-01
13103 +2.749758738e+01 +2.749758738e+01 -2.744241262e+01 -2.744241262e+01 -3.4315e+00 -1.4209e+00 -4.9330e-01 +4.6236e+00 +7.8044e-01
13173 +2.675079344e+01 +2.675079344e+01 -2.818920656e+01 -2.818920656e+01 -3.2961e+00 -1.4505e+00 -6.6228e-01 +4.5326e+00 +8.6448e-01
13220 +2.627526590e+01 +2.627526590e+01 -2.866473410e+01 -2.866473410e+01 -3.2182e+00 -1.4680e+00 -7.5874e-01 +4.4763e+00 +9.1393e-01
13254 +2.566717595e+01 +2.566717595e+01 -2.927282405e+01 -2.927282405e+01 -3.2199e+00 -1.4698e+00 -7.5829e-01 +4.4781e+00 +9.1319e-01
13295 +2.508283532e+01 +2.508283532e+01 -2.985716468e+01 -2.985716468e+01 -3.2245e+00 -1.4700e+00 -7.5218e-01 +4.4794e+00 +9.1055e-01
13319 +2.452076722e+01 +2.452076722e+01 -3.041923278e+01 -3.041923278e+01 -3.1879e+00 -1.4801e+00 -7.9793e-01 +4.4545e+00 +9.3509e-01
13334 +2.374103185e+01 +2.374103185e+01 -3.119896815e+01 -3.119896815e+01 -3.1530e+00 -1.4914e+00 -8.4184e-01 +4.4289e+00 +9.5925e-01
13349 +2.334689293e+01 +2.334689293e+01 -3.159310707e+01 -3.159310707e+01 -3.1440e+00 -1.4942e+00 -8.5270e-01 +4.4237e+00 +9.6558e-01
13355 +2.288857493e+01 +2.288857493e+01 -3.205142507e+01 -3.205142507e+01 -3.1173e+00 -1.5020e+00 -8.8557e-01 +4.4057e+00 +9.8373e-01
13365 +2.230623972e+01 +2.230623972e+01 -3.263376028e+01 -3.263376028e+01 -3.0431e+00 -1.5234e+00 -9.7697e-01 +4.3555e+00 +1.0338e+00
13372 +2.178757476e+01 +2.178757476e+01 -3.315242524e+01 -3.315242524e+01 -3.0238e+00 -1.5294e+00 -1.0007e+00 +4.3423e+00 +1.0483e+00
13394 +2.132317121e+01 +2.132317121e+01 -3.361682879e+01 -3.361682879e+01 -3.0136e+00 -1.5338e+00 -1.0156e+00 +4.3342e+00 +1.0541e+00
13409 +2.080547279e+01 +2.080547279e+01 -3.413452721e+01 -3.413452721e+01 -2.9775e+00 -1.5452e+00 -1.0602e+00 +4.3088e+00 +1.0792e+00
13416 +2.033222198e+01 +2.033222198e+01 -3.460777802e+01 -3.460777802e+01 -2.8817e+00 -1.5751e+00 -1.1809e+00 +4.2411e+00 +1.1452e+00
13434 +1.877259891e+01 +1.877259891e+01 -3.616740109e+01 -3.616740109e+01 -2.8968e+00 -1.5755e+00 -1.1619e+00 +4.2495e+00 +1.1369e+00
13435 +1.842738959e+01 +1.842738959e+01 -3.651261041e+01 -3.651261041e+01 -2.8534e+00 -1.5903e+00 -1.2151e+00 +4.2187e+00 +1.1682e+00
13440 +1.782589786e+01 +1.782589786e+01 -3.711410214e+01 -3.711410214e+01 -2.8275e+00 -1.5988e+00 -1.2478e+00 +4.2023e+00 +1.1868e+00
13442 +1.731584625e+01 +1.731584625e+01 -3.762415375e+01 -3.762415375e+01 -2.6708e+00 -1.6539e+00 -1.4437e+00 +4.0921e+00 +1.2982e+00
13482 +1.693408327e+01 +1.693408327e+01 -3.800591673e+01 -3.800591673e+01 -2.6470e+00 -1.6632e+00 -1.4751e+00 +4.0770e+00 +1.3150e+00
13524 +1.630716374e+01 +1.630716374e+01 -3.863283626e+01 -3.863283626e+01 -2.6393e+00 -1.6681e+00 -1.4858e+00 +4.0731e+00 +1.3214e+00
13562 +1.618944480e+01 +1.618944480e+01 -3.875055520e+01 -3.875055520e+01 -2.6616e+00 -1.6638e+00 -1.4585e+00 +4.0866e+00 +1.3065e+00
13598 +1.574170366e+01 +1.574170366e+01 -3.919829634e+01 -3.919829634e+01 -2.6438e+00 -1.6731e+00 -1.4798e+00 +4.0725e+00 +1.3233e+00
13641 +1.515132378e+01 +1.515132378e+01 -3.978867622e+01 -3.978867622e+01 -2.6475e+00 -1.6725e+00 -1.4748e+00 +4.0771e+00 +1.3215e+00
13643 +1.513550738e+01 +1.513550738e+01 -3.980449262e+01 -3.980449262e+01 -2.6346e+00 -1.6770e+00 -1.4902e+00 +4.0697e+00 +1.3309e+00
13655 +1.478023269e+01 +1.478023269e+01 -4.015976731e+01 -4.015976731e+01 -2.6304e+00 -1.6785e+00 -1.4944e+00 +4.0682e+00 +1.3354e+00
13675 +1.443933070e+01 +1.443933070e+01 -4.050066930e+01 -4.050066930e+01 -2.6295e+00 -1.6794e+00 -1.4979e+00 +4.0684e+00 +1.3357e+00
13725 +1.365207776e+01 +1.365207776e+01 -4.128792224e+01 -4.128792224e+01 -2.6288e+00 -1.6859e+00 -1.5002e+00 +4.0682e+00 +1.3395e+00
13735 +1.332872933e+01 +1.332872933e+01 -4.161127067e+01 -4.161127067e+01 -2.6245e+00 -1.6900e+00 -1.5056e+00 +4.0661e+00 +1.3450e+00
13744 +1.310478500e+01 +1.310478500e+01 -4.183521500e+01 -4.183521500e+01 -2.6061e+00 -1.7053e+00 -1.5300e+00 +4.0566e+00 +1.3644e+00
13814 +1.287379168e+01 +1.287379168e+01 -4.206620832e+01 -4.206620832e+01 -2.5981e+00 -1.7178e+00 -1.5418e+00 +4.0511e+00 +1.3759e+00
