% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.707168231e+01 +3.707168231e+01 +2.013168231e+01 +2.013168231e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 +2.410011212e+01 +2.410011212e+01 +7.160112118e+00 +7.160112118e+00 +1.0504e+00 -7.7253e-01 +2.1739e+00 +6.9943e-01 +3.0547e+00 -1.4957e-01 -2.0166e+00 +3.1044e-01 -9.8543e-01 -2.3339e+00 -8.6286e-01 +2.3870e+00 -1.5921e+00 +2.0377e+00 +1.6615e+00 +6.6918e-01 +1.4719e+00 +1.6526e+00 -1.1538e-02 +7.8109e-01
15 +1.551768511e+01 +1.551768511e+01 -1.422314889e+00 -1.422314889e+00 +1.3743e+00 +8.2539e-01 +2.2737e+00 +1.4211e+00 +4.2749e+00 -5.9135e-01 +2.3094e-01 +1.8135e+00 -1.8676e+00 -4.5428e+00 -1.4779e-02 +2.7563e+00 +1.3365e+00 +1.8196e+00 +2.5241e+00 +7.3479e-01 +1.6121e+00 +2.2647e+00 +8.7615e-01 +9.4240e-03
31 +1.441691154e+01 +1.441691154e+01 -2.523088462e+00 -2.523088462e+00 +2.2052e-02 -8.1486e-01 +2.9235e-01 +1.8397e+00 +3.3467e+00 -1.0276e+00 +3.3077e+00 +1.7665e-01 -1.6039e+00 -4.3512e+00 -1.4520e-01 +4.4988e+00 +7.1962e-01 +5.8968e-01 -7.4842e-01 +2.0712e+00 +2.3048e+00 +2.8242e+00 -3.9650e-01 +2.7649e-01
39 +1.250829301e+01 +1.250829301e+01 -4.431706993e+00 -4.431706993e+00 +1.4272e+00 -1.2488e-01 +1.7687e+00 +7.7722e-01 +4.2262e+00 +9.7479e-02 +3.8753e+00 +1.0875e+00 -5.2910e-01 -3.7774e+00 -1.1854e+00 +4.9343e+00 +2.0752e+00 +2.6900e-01 -1.2399e+00 +2.0239e+00 +1.5784e+00 +2.7893e+00 -5.6187e-01 +1.6434e+00
189 +9.295979017e+00 +9.295979017e+00 -7.644020983e+00 -7.644020983e+00 +5.2263e+00 -7.5344e-01 +2.6029e-01 +2.9657e+00 +4.9384e+00 -2.7962e-01 +3.1974e+00 +3.3946e+00 -2.5980e+00 -4.0321e+00 +2.8874e+00 +3.4516e+00 +1.0113e-01 -1.2141e+00 -1.1459e-02 +3.7336e+00 +5.2334e+00 +1.3173e+00 -4.1345e-02 +4.4858e+00
420 +8.970767806e+00 +8.970767806e+00 -7.969232194e+00 -7.969232194e+00 +4.3235e+00 -1.2022e+00 -2.7404e-01 +4.1830e-01 +3.1007e+00 -2.4237e+00 +2.9343e+00 +6.2529e-01 +1.8290e+00 -2.2126e+00 -1.8024e+00 -1.8413e+00 -1.0085e+00 +9.9342e-01 +1.3122e+00 +2.1630e+00 +5.0502e+00 +1.5854e+00 +1.3966e+00 +3.9652e+00
557 +7.781007260e+00 +7.781007260e+00 -9.158992740e+00 -9.158992740e+00 +4.5958e+00 +3.3523e+00 +4.3203e-01 +1.6795e+00 +2.8422e+00 -1.7533e+00 +2.6707e+00 -2.5414e+00 +9.4267e-01 -3.2073e+00 +1.1128e+00 +2.3315e+00 -4.1102e-01 -3.2391e+00 -5.1748e-01 -1.1235e-01 +2.2614e+00 +2.2913e+00 +9.4002e-01 -4.9694e-01
566 +6.788454320e+00 +6.788454320e+00 -1.015154568e+01 -1.015154568e+01 +3.2829e+00 +2.2532e+00 +1.6340e+00 +1.3724e+00 +3.9005e+00 -2.4453e+00 +3.6990e+00 -2.0488e+00 +9.4748e-01 -2.0830e+00 +2.5568e+00 +3.7005e+00 -5.2025e-01 -1.6261e+00 -1.3827e+00 +5.2041e-01 +2.4192e+00 +3.4561e+00 +1.3828e+00 +1.7427e+00
682 +6.590991783e+00 +6.590991783e+00 -1.034900822e+01 -1.034900822e+01 +1.7326e+00 +2.7850e+00 -1.8097e+00 +1.4143e+00 +4.0367e+00 -1.8544e+00 +2.5783e+00 -5.5323e-01 +1.6040e+00 -2.3400e+00 +1.7488e+00 +9.7994e-01 -1.4193e+00 -4.2238e+00 +1.6621e-01 -1.2804e+00 +3.8266e+00 +7.8014e-01 +1.5466e+00 +1.7547e-02
