% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.977281728e+01 +8.977281728e+01 +1.692528173e+02 +1.692528173e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
47 +8.854737982e+01 +8.854737982e+01 +1.680273798e+02 +1.680273798e+02 -9.1565e-01 -1.8424e-02 -2.0731e-01 -6.1532e-01 -4.5499e+00 +1.9133e+00 -7.7353e-01 -1.0706e+00 -1.5793e+00 -1.2454e+00 +1.0104e+00 -1.5343e+00 -4.8261e-01 -5.1110e-02 +1.5915e+00 +7.5406e-01 -2.4858e+00 -1.5866e+00 +1.2686e+00 -1.5625e+00
74 +7.987029980e+01 +7.987029980e+01 +1.593502998e+02 +1.593502998e+02 -2.3036e-02 -2.5262e+00 +5.5184e-01 +9.3572e-01 -4.9309e+00 +1.9580e-02 +2.5188e-01 -1.4292e+00 -2.1759e+00 -8.5176e-01 +1.6355e+00 -1.8555e+00 -9.8980e-01 +1.0029e-01 +3.7422e+00 +3.1102e+00 +5.1237e-01 -1.8399e+00 +1.6812e+00 -1.4099e+00
83 +5.717602022e+01 +5.717602022e+01 +1.366560202e+02 +1.366560202e+02 +7.4323e-01 -1.1143e+00 -3.7274e-01 +5.4945e-01 -4.4272e+00 +3.6156e-02 +2.7548e+00 +1.5185e-01 -1.9335e+00 -3.9146e-01 +1.4911e-01 -1.0822e+00 -8.7810e-01 -6.9011e-01 +4.1711e+00 +3.0309e+00 +3.1925e-01 -2.9818e+00 +1.1076e+00 -5.1055e-01
102 +5.081278288e+01 +5.081278288e+01 +1.302927829e+02 +1.302927829e+02 +4.1878e-01 -1.5873e+00 -3.0772e-01 +3.2502e-01 -1.5992e+00 +1.8691e+00 +1.8701e+00 +1.5610e+00 -1.4214e+00 +1.6515e-01 -7.6629e-01 +8.5159e-01 -1.3127e+00 +1.0511e+00 +4.6833e+00 +3.9292e+00 -1.1219e+00 -3.6219e+00 -2.9867e-01 +1.2517e+00
113 +4.400998093e+01 +4.400998093e+01 +1.234899809e+02 +1.234899809e+02 +2.1583e+00 -5.8982e-01 -1.0558e+00 +1.0516e-01 -3.0174e+00 +1.7152e-01 +1.4050e+00 +2.6237e+00 -2.2763e+00 -2.0068e+00 -2.3648e-01 +1.2547e+00 -1.2989e+00 +9.0028e-01 +4.6944e+00 +3.5098e+00 +3.2062e-01 -3.4281e+00 +7.2113e-01 +2.5569e+00
124 +3.380450117e+01 +3.380450117e+01 +1.132845012e+02 +1.132845012e+02 -9.1049e-03 -8.2402e-02 -8.7712e-01 +1.2363e-01 -9.5689e-01 +1.0798e-01 +2.1266e+00 +1.3795e+00 -2.7188e+00 -2.1601e+00 -3.4268e-01 +1.4448e+00 -1.8701e-01 +8.8251e-01 +3.5877e+00 +3.2288e+00 +3.9603e-01 -3.8166e+00 +1.2371e+00 +4.7809e-01
176 +2.813304665e+01 +2.813304665e+01 +1.076130466e+02 +1.076130466e+02 +1.3510e+00 -3.3069e+00 -2.0003e+00 +2.4851e-01 -2.5778e+00 -1.1169e+00 -1.2313e+00 -5.6408e-01 -3.6088e-01 -2.8289e+00 -3.1069e+00 +1.8787e+00 +5.1067e-01 -2.2300e+00 +2.5666e+00 +3.2618e+00 +8.8453e-02 -2.2899e+00 +2.9249e+00 -1.2398e-01
236 +2.737278535e+01 +2.737278535e+01 +1.068527854e+02 +1.068527854e+02 -1.4795e+00 -2.3166e+00 -3.5877e-01 +3.2590e+00 -3.7294e+00 +1.7150e+00 -1.8062e+00 +1.4880e-01 -4.9131e-01 -2.4783e+00 -3.1617e+00 +9.9163e-01 -5.0295e-01 -7.4861e-01 +5.6543e+00 +3.1783e+00 -2.3852e+00 -3.6061e+00 +2.3732e+00 +1.6522e+00
458 +2.481953684e+01 +2.481953684e+01 +1.042995368e+02 +1.042995368e+02 +3.4774e-01 +1.0125e+00 -2.1001e+00 +9.9869e-01 -3.0662e+00 +1.7789e+00 -1.7701e+00 -3.0544e-02 -2.4920e+00 -2.6971e+00 -4.7090e+00 +3.4141e+00 +8.4134e-01 -6.0113e-01 +2.6212e+00 +5.2119e-01 +5.6868e-01 -4.1292e+00 +2.7681e+00 +1.9850e-01
