% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.592654473e+03 +6.592654473e+03 +6.046154473e+03 +6.046154473e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
12 +6.125455285e+03 +6.125455285e+03 +5.578955285e+03 +5.578955285e+03 +4.2051e+00 -2.1328e+00 +1.5026e+00 +3.0612e-01 +1.0741e+00
15 +1.191675335e+03 +1.191675335e+03 +6.451753352e+02 +6.451753352e+02 +3.0445e+00 +1.1284e-01 +2.0937e-01 -1.2947e+00 +3.3437e-01
24 +2.393019614e+02 +2.393019614e+02 -3.071980386e+02 -3.071980386e+02 +6.8590e-01 +1.1668e+00 -2.0251e-01 -4.1696e-01 +1.2745e+00
28 +1.489437820e+02 +1.489437820e+02 -3.975562180e+02 -3.975562180e+02 +3.0991e+00 +1.1026e+00 +5.8487e-01 -1.7575e+00 +8.7864e-01
34 +4.750531197e+00 +4.750531197e+00 -5.417494688e+02 -5.417494688e+02 +2.2320e+00 +1.4777e+00 +8.4972e-01 -1.3854e+00 +1.2003e+00
48 +2.424994058e+00 +2.424994058e+00 -5.440750059e+02 -5.440750059e+02 +1.4182e+00 +1.0540e+00 +1.0669e+00 -9.0405e-01 +2.3982e+00
317 +2.205414485e+00 +2.205414485e+00 -5.442945855e+02 -5.442945855e+02 +1.4725e+00 +2.8367e-01 +5.1504e-01 -8.8526e-01 +1.7165e+00
323 +2.069297332e+00 +2.069297332e+00 -5.444307027e+02 -5.444307027e+02 +1.4239e+00 +1.8746e-01 +5.7387e-01 -9.9152e-01 +1.7079e+00
353 +1.998793446e+00 +1.998793446e+00 -5.445012066e+02 -5.445012066e+02 +1.4215e+00 +2.8658e-01 +5.4820e-01 -9.9877e-01 +1.5865e+00
356 +1.910275936e+00 +1.910275936e+00 -5.445897241e+02 -5.445897241e+02 +1.4285e+00 +2.2524e-01 +5.2694e-01 -9.4033e-01 +1.5803e+00
357 +1.887252063e+00 +1.887252063e+00 -5.446127479e+02 -5.446127479e+02 +1.3805e+00 +3.1749e-01 +5.1395e-01 -1.0105e+00 +1.4894e+00
388 +1.837321439e+00 +1.837321439e+00 -5.446626786e+02 -5.446626786e+02 +1.3867e+00 +2.2573e-01 +5.8092e-01 -9.9495e-01 +1.5168e+00
389 +1.794024003e+00 +1.794024003e+00 -5.447059760e+02 -5.447059760e+02 +1.4089e+00 +1.9736e-01 +5.5043e-01 -9.3876e-01 +1.5412e+00
398 +1.701169064e+00 +1.701169064e+00 -5.447988309e+02 -5.447988309e+02 +1.3873e+00 +2.4793e-01 +5.3283e-01 -9.8083e-01 +1.5185e+00
413 +1.666778823e+00 +1.666778823e+00 -5.448332212e+02 -5.448332212e+02 +1.4206e+00 +2.5504e-01 +5.4076e-01 -9.6723e-01 +1.5076e+00
423 +1.636912894e+00 +1.636912894e+00 -5.448630871e+02 -5.448630871e+02 +1.4171e+00 +2.5775e-01 +5.2958e-01 -9.7917e-01 +1.5192e+00
470 +1.616652086e+00 +1.616652086e+00 -5.448833479e+02 -5.448833479e+02 +1.4404e+00 +2.9702e-01 +5.0801e-01 -9.8342e-01 +1.5326e+00
485 +1.581130353e+00 +1.581130353e+00 -5.449188696e+02 -5.449188696e+02 +1.4566e+00 +2.6447e-01 +5.2636e-01 -9.6831e-01 +1.5302e+00
625 +1.547660389e+00 +1.547660389e+00 -5.449523396e+02 -5.449523396e+02 +1.4855e+00 +2.9252e-01 +5.2177e-01 -9.7349e-01 +1.5237e+00
76984 +1.388844414e+00 +1.388844414e+00 -5.451111556e+02 -5.451111556e+02 -1.9667e+00 -1.3108e+00 +9.0080e-01 -2.3419e+00 +8.9836e-01
77010 +1.352313919e+00 +1.352313919e+00 -5.451476861e+02 -5.451476861e+02 -2.0437e+00 -1.3063e+00 +8.8276e-01 -2.3693e+00 +9.2009e-01
77017 +1.096969408e+00 +1.096969408e+00 -5.454030306e+02 -5.454030306e+02 -2.0598e+00 -1.3424e+00 +8.8555e-01 -2.3906e+00 +9.1107e-01
77026 +1.086928141e+00 +1.086928141e+00 -5.454130719e+02 -5.454130719e+02 -2.0842e+00 -1.3553e+00 +8.9412e-01 -2.3864e+00 +9.0348e-01
77073 +1.042185976e+00 +1.042185976e+00 -5.454578140e+02 -5.454578140e+02 -2.1445e+00 -1.3554e+00 +9.5058e-01 -2.4165e+00 +8.9796e-01
77080 +9.885905753e-01 +9.885905753e-01 -5.455114094e+02 -5.455114094e+02 -2.1142e+00 -1.3557e+00 +9.3665e-01 -2.4168e+00 +8.9887e-01
77094 +9.713626807e-01 +9.713626807e-01 -5.455286373e+02 -5.455286373e+02 -2.0864e+00 -1.3471e+00 +9.2854e-01 -2.4109e+00 +8.7043e-01
77137 +9.537731526e-01 +9.537731526e-01 -5.455462268e+02 -5.455462268e+02 -2.1220e+00 -1.3550e+00 +9.3666e-01 -2.3993e+00 +8.7753e-01
134152 +9.276433200e-01 +9.276433200e-01 -5.455723567e+02 -5.455723567e+02 -1.0328e+00 +2.3499e+00 +1.8547e-02 -2.6273e+00 +8.3769e-01
134209 +9.092880672e-01 +9.092880672e-01 -5.455907119e+02 -5.455907119e+02 -1.0185e+00 +2.3736e+00 -1.0939e-03 -2.6307e+00 +8.3151e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.592654473e+03 +6.592654473e+03 +7.592654473e+03 +7.592654473e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +4.604018825e+03 +4.604018825e+03 +5.604018825e+03 +5.604018825e+03 +3.4973e+00 +1.0052e+00 +4.6515e-01 +5.4749e-01 -2.6866e+00
18 +9.455005526e+01 +9.455005526e+01 +1.094550055e+03 +1.094550055e+03 +1.2143e-01 +1.2142e+00 +5.3057e-01 -1.3357e+00 -1.0631e+00
39 +8.261688745e+01 +8.261688745e+01 +1.082616887e+03 +1.082616887e+03 -5.5543e-01 +3.0669e+00 -1.6931e-01 -1.4038e+00 -7.4807e-01
85 +3.292247319e+01 +3.292247319e+01 +1.032922473e+03 +1.032922473e+03 -3.7431e-01 +2.9980e+00 +7.9476e-01 -1.3641e+00 -1.3128e+00
89 +4.391570204e+00 +4.391570204e+00 +1.004391570e+03 +1.004391570e+03 +1.8472e-01 +1.6256e+00 -5.2512e-01 -6.2051e-01 -1.3103e+00
92 +3.543776664e+00 +3.543776664e+00 +1.003543777e+03 +1.003543777e+03 -1.7966e-01 +2.4881e+00 -7.0588e-01 -5.4105e-01 -1.2640e+00
95 +3.148499808e+00 +3.148499808e+00 +1.003148500e+03 +1.003148500e+03 -3.0199e-01 +9.9718e-01 -1.7066e+00 -2.9334e-01 -1.4219e+00
200 +2.798497722e+00 +2.798497722e+00 +1.002798498e+03 +1.002798498e+03 +9.2212e-02 -2.6569e-02 -2.7055e+00 -5.0493e-01 -2.0492e+00
