% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
14986 +3.526288016e+00 +3.526288016e+00 -4.882371198e+01 -4.882371198e+01
15009 +3.159546247e+00 +3.159546247e+00 -4.919045375e+01 -4.919045375e+01
15459 +3.053398878e+00 +3.053398878e+00 -4.929660112e+01 -4.929660112e+01
16677 +2.868120190e+00 +2.868120190e+00 -4.948187981e+01 -4.948187981e+01
16687 +2.699243575e+00 +2.699243575e+00 -4.965075642e+01 -4.965075642e+01
16698 +2.615776190e+00 +2.615776190e+00 -4.973422381e+01 -4.973422381e+01
18104 +2.496143241e+00 +2.496143241e+00 -4.985385676e+01 -4.985385676e+01
18529 +2.391356573e+00 +2.391356573e+00 -4.995864343e+01 -4.995864343e+01
18541 +2.170882598e+00 +2.170882598e+00 -5.017911740e+01 -5.017911740e+01
19164 +2.033855269e+00 +2.033855269e+00 -5.031614473e+01 -5.031614473e+01
19183 +1.960297189e+00 +1.960297189e+00 -5.038970281e+01 -5.038970281e+01
20333 +1.712620749e+00 +1.712620749e+00 -5.063737925e+01 -5.063737925e+01
20394 +1.615919602e+00 +1.615919602e+00 -5.073408040e+01 -5.073408040e+01
20950 +1.479456746e+00 +1.479456746e+00 -5.087054325e+01 -5.087054325e+01
20960 +1.438842148e+00 +1.438842148e+00 -5.091115785e+01 -5.091115785e+01
21617 +1.393670797e+00 +1.393670797e+00 -5.095632920e+01 -5.095632920e+01
21927 +1.142523781e+00 +1.142523781e+00 -5.120747622e+01 -5.120747622e+01
22098 +1.072081057e+00 +1.072081057e+00 -5.127791894e+01 -5.127791894e+01
23425 +9.443995601e-01 +9.443995601e-01 -5.140560044e+01 -5.140560044e+01
24256 +8.685025413e-01 +8.685025413e-01 -5.148149746e+01 -5.148149746e+01
24294 +8.399587256e-01 +8.399587256e-01 -5.151004127e+01 -5.151004127e+01
24307 +7.554371729e-01 +7.554371729e-01 -5.159456283e+01 -5.159456283e+01
24413 +7.083735936e-01 +7.083735936e-01 -5.164162641e+01 -5.164162641e+01
24427 +6.752472924e-01 +6.752472924e-01 -5.167475271e+01 -5.167475271e+01
26824 +5.980038135e-01 +5.980038135e-01 -5.175199619e+01 -5.175199619e+01
26841 +5.561982809e-01 +5.561982809e-01 -5.179380172e+01 -5.179380172e+01
28003 +5.058076733e-01 +5.058076733e-01 -5.184419233e+01 -5.184419233e+01
28622 +4.901561190e-01 +4.901561190e-01 -5.185984388e+01 -5.185984388e+01
29168 +4.410202990e-01 +4.410202990e-01 -5.190897970e+01 -5.190897970e+01
29597 +3.773428392e-01 +3.773428392e-01 -5.197265716e+01 -5.197265716e+01
29603 +3.384690675e-01 +3.384690675e-01 -5.201153093e+01 -5.201153093e+01
32641 +3.262080758e-01 +3.262080758e-01 -5.202379192e+01 -5.202379192e+01
32761 +3.230207465e-01 +3.230207465e-01 -5.202697925e+01 -5.202697925e+01
33399 +3.078904235e-01 +3.078904235e-01 -5.204210958e+01 -5.204210958e+01
33403 +2.968121768e-01 +2.968121768e-01 -5.205318782e+01 -5.205318782e+01
33419 +2.835889082e-01 +2.835889082e-01 -5.206641109e+01 -5.206641109e+01
33422 +2.779607495e-01 +2.779607495e-01 -5.207203925e+01 -5.207203925e+01
33467 +2.484045149e-01 +2.484045149e-01 -5.210159549e+01 -5.210159549e+01
34463 +1.938495270e-01 +1.938495270e-01 -5.215615047e+01 -5.215615047e+01
36234 +1.735833664e-01 +1.735833664e-01 -5.217641663e+01 -5.217641663e+01
37329 +1.694155534e-01 +1.694155534e-01 -5.218058445e+01 -5.218058445e+01
37336 +1.536689577e-01 +1.536689577e-01 -5.219633104e+01 -5.219633104e+01
37735 +1.469580043e-01 +1.469580043e-01 -5.220304200e+01 -5.220304200e+01
38114 +1.428727103e-01 +1.428727103e-01 -5.220712729e+01 -5.220712729e+01
38712 +1.383063851e-01 +1.383063851e-01 -5.221169361e+01 -5.221169361e+01
40133 +1.284509110e-01 +1.284509110e-01 -5.222154909e+01 -5.222154909e+01
41002 +1.239666930e-01 +1.239666930e-01 -5.222603331e+01 -5.222603331e+01
41861 +1.175299532e-01 +1.175299532e-01 -5.223247005e+01 -5.223247005e+01
41905 +9.822628579e-02 +9.822628579e-02 -5.225177371e+01 -5.225177371e+01
41923 +8.802046577e-02 +8.802046577e-02 -5.226197953e+01 -5.226197953e+01
42014 +8.536599734e-02 +8.536599734e-02 -5.226463400e+01 -5.226463400e+01
43362 +7.037781905e-02 +7.037781905e-02 -5.227962218e+01 -5.227962218e+01
46892 +6.726840271e-02 +6.726840271e-02 -5.228273160e+01 -5.228273160e+01
47126 +6.514677856e-02 +6.514677856e-02 -5.228485322e+01 -5.228485322e+01
47397 +5.495088884e-02 +5.495088884e-02 -5.229504911e+01 -5.229504911e+01
49418 +5.000313760e-02 +5.000313760e-02 -5.229999686e+01 -5.229999686e+01
52037 +4.816080353e-02 +4.816080353e-02 -5.230183920e+01 -5.230183920e+01
52147 +4.115765272e-02 +4.115765272e-02 -5.230884235e+01 -5.230884235e+01
52157 +4.035704371e-02 +4.035704371e-02 -5.230964296e+01 -5.230964296e+01
52171 +3.970444831e-02 +3.970444831e-02 -5.231029555e+01 -5.231029555e+01
52726 +3.804984374e-02 +3.804984374e-02 -5.231195016e+01 -5.231195016e+01
53047 +3.579767448e-02 +3.579767448e-02 -5.231420233e+01 -5.231420233e+01
55165 +3.445565838e-02 +3.445565838e-02 -5.231554434e+01 -5.231554434e+01
55172 +3.270546582e-02 +3.270546582e-02 -5.231729453e+01 -5.231729453e+01
55183 +3.134794662e-02 +3.134794662e-02 -5.231865205e+01 -5.231865205e+01
56472 +3.035462191e-02 +3.035462191e-02 -5.231964538e+01 -5.231964538e+01
56719 +2.937218156e-02 +2.937218156e-02 -5.232062782e+01 -5.232062782e+01
58810 +2.734345783e-02 +2.734345783e-02 -5.232265654e+01 -5.232265654e+01
58818 +2.428608969e-02 +2.428608969e-02 -5.232571391e+01 -5.232571391e+01
61157 +2.199153140e-02 +2.199153140e-02 -5.232800847e+01 -5.232800847e+01
61445 +2.085096954e-02 +2.085096954e-02 -5.232914903e+01 -5.232914903e+01
62394 +1.949397243e-02 +1.949397243e-02 -5.233050603e+01 -5.233050603e+01
62408 +1.889611344e-02 +1.889611344e-02 -5.233110389e+01 -5.233110389e+01
63603 +1.851296342e-02 +1.851296342e-02 -5.233148704e+01 -5.233148704e+01
63955 +1.777727962e-02 +1.777727962e-02 -5.233222272e+01 -5.233222272e+01
64098 +1.423209073e-02 +1.423209073e-02 -5.233576791e+01 -5.233576791e+01
68157 +1.398139457e-02 +1.398139457e-02 -5.233601861e+01 -5.233601861e+01
70335 +1.371689323e-02 +1.371689323e-02 -5.233628311e+01 -5.233628311e+01
70487 +1.252315431e-02 +1.252315431e-02 -5.233747685e+01 -5.233747685e+01
70798 +1.218950104e-02 +1.218950104e-02 -5.233781050e+01 -5.233781050e+01
70820 +1.042173573e-02 +1.042173573e-02 -5.233957826e+01 -5.233957826e+01
73190 +1.012056551e-02 +1.012056551e-02 -5.233987943e+01 -5.233987943e+01
74276 +9.473795741e-03 +9.473795741e-03 -5.234052620e+01 -5.234052620e+01
75927 +8.696496747e-03 +8.696496747e-03 -5.234130350e+01 -5.234130350e+01
75953 +7.849605003e-03 +7.849605003e-03 -5.234215039e+01 -5.234215039e+01
77746 +7.697625143e-03 +7.697625143e-03 -5.234230237e+01 -5.234230237e+01
79012 +6.973951252e-03 +6.973951252e-03 -5.234302605e+01 -5.234302605e+01
80841 +6.762883865e-03 +6.762883865e-03 -5.234323712e+01 -5.234323712e+01
81543 +6.688264530e-03 +6.688264530e-03 -5.234331174e+01 -5.234331174e+01
81919 +5.938446645e-03 +5.938446645e-03 -5.234406155e+01 -5.234406155e+01
82640 +5.835409098e-03 +5.835409098e-03 -5.234416459e+01 -5.234416459e+01
83174 +5.303492702e-03 +5.303492702e-03 -5.234469651e+01 -5.234469651e+01
86117 +5.174034556e-03 +5.174034556e-03 -5.234482597e+01 -5.234482597e+01
87263 +4.707516299e-03 +4.707516299e-03 -5.234529248e+01 -5.234529248e+01
91131 +4.633696414e-03 +4.633696414e-03 -5.234536630e+01 -5.234536630e+01
91299 +4.335254677e-03 +4.335254677e-03 -5.234566475e+01 -5.234566475e+01
94374 +4.095702872e-03 +4.095702872e-03 -5.234590430e+01 -5.234590430e+01
94382 +3.666092747e-03 +3.666092747e-03 -5.234633391e+01 -5.234633391e+01
94437 +3.617650624e-03 +3.617650624e-03 -5.234638235e+01 -5.234638235e+01
97474 +3.491552215e-03 +3.491552215e-03 -5.234650845e+01 -5.234650845e+01
