% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.680316576e+01 +3.680316576e+01 -1.554683424e+01 -1.554683424e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
44 +3.610841349e+01 +3.610841349e+01 -1.624158651e+01 -1.624158651e+01 +8.1593e-01 -8.4330e-01 +5.7544e+00 +4.5117e-01 +3.0666e-01 -2.2572e+00 +3.2157e-01 -2.8735e+00 -1.0396e+00 -1.8688e+00 -1.3243e+00 +1.6795e+00 -4.1706e-01 -4.3397e-01 +1.7935e+00 -1.7035e+00 +2.5267e+00 +2.0775e+00 +7.8636e-01 -4.9839e+00
49 +3.371067144e+01 +3.371067144e+01 -1.863932856e+01 -1.863932856e+01 +2.2309e-01 -1.1698e-01 +1.8789e+00 +2.2487e+00 +1.1245e+00 -8.5259e-01 +5.0884e-01 -2.8178e+00 -2.6990e+00 -3.0230e+00 -1.9099e+00 +8.7330e-01 -1.4961e+00 +2.6902e-03 +1.6957e+00 -1.4607e+00 +1.0083e+00 +5.3849e-01 +8.3430e-01 -3.4762e+00
53 +3.035472593e+01 +3.035472593e+01 -2.199527407e+01 -2.199527407e+01 +4.1797e-01 -1.5933e+00 +3.0290e+00 +3.2901e+00 -1.2455e+00 -1.9692e+00 +1.4452e+00 -3.4601e+00 -1.9619e+00 -2.9417e+00 -3.0332e+00 +1.2062e+00 -1.1493e+00 +6.7342e-02 +2.1668e+00 -5.6226e-01 +4.7775e-01 +2.3245e+00 +1.6499e+00 -4.2812e+00
62 +2.991468428e+01 +2.991468428e+01 -2.243531572e+01 -2.243531572e+01 -1.8318e+00 -1.5369e+00 +6.2915e-01 +3.4794e+00 +3.9818e-01 -1.9724e+00 +1.4224e+00 -3.3066e+00 +5.5545e-01 -3.2534e+00 -8.8158e-01 -4.6690e-01 -4.5962e-01 +1.0603e+00 +1.8631e+00 -2.9846e+00 +3.5478e-01 -4.8635e-01 +1.9568e+00 -3.0756e+00
100 +2.629336382e+01 +2.629336382e+01 -2.605663618e+01 -2.605663618e+01 -3.7510e-01 -1.8078e+00 -5.4230e-01 +2.3529e+00 +7.0054e-01 -5.7116e-01 +1.6392e+00 -4.0071e+00 -3.3016e-02 -5.9250e+00 -2.2916e-01 -6.3122e-01 -5.1592e-01 -4.6107e-01 -1.0310e+00 -7.1350e-01 +4.2484e-01 -1.6730e+00 +1.3493e+00 -2.8698e+00
107 +2.386238641e+01 +2.386238641e+01 -2.848761359e+01 -2.848761359e+01 -7.9516e-01 -1.8082e+00 +3.1836e-01 +1.5936e+00 -2.0249e-01 -7.2430e-01 +1.7578e+00 -6.1253e+00 -2.1662e-01 -4.5182e+00 -1.2278e+00 -5.1028e-01 -5.5003e-02 -2.5059e+00 +5.9406e-01 -1.8376e+00 -1.5041e+00 -2.7102e+00 +2.2623e+00 -4.1663e+00
116 +2.241055155e+01 +2.241055155e+01 -2.993944845e+01 -2.993944845e+01 +4.7171e-01 -2.1746e+00 +1.9084e-01 +1.1317e+00 -7.6340e-01 +4.9464e-02 +1.5333e+00 -4.7701e+00 +1.1815e+00 -3.9561e+00 -1.7754e+00 -1.2631e+00 -8.2445e-01 -1.4171e+00 +2.9362e+00 -1.6528e+00 -2.3336e+00 -2.9929e+00 +3.3856e+00 -4.2278e+00
121 +2.128845538e+01 +2.128845538e+01 -3.106154462e+01 -3.106154462e+01 -1.9136e+00 -2.8433e+00 -4.3094e-01 +2.1466e+00 -1.3735e+00 -4.0172e-01 +8.7046e-01 -5.3591e+00 +1.8345e+00 -4.5637e+00 -4.6241e-03 -2.6091e-01 -1.1125e+00 -1.6463e+00 +2.1386e-01 -7.7877e-01 -8.9379e-01 -2.5194e+00 +3.1797e+00 -3.0948e+00
152 +1.799705890e+01 +1.799705890e+01 -3.435294110e+01 -3.435294110e+01 -1.7643e+00 -3.1623e+00 -9.4089e-01 +1.8116e-01 +1.5631e-01 -2.5744e-01 -1.2140e+00 -4.3801e+00 -9.7466e-01 -1.9379e+00 +1.4563e+00 -1.5306e+00 +1.1803e-01 -1.5075e+00 -1.6159e+00 -1.3591e+00 -1.5214e+00 -2.2272e+00 +2.3221e+00 -3.0059e+00
