% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.287602554e+01 +8.287602554e+01 -9.171239745e+02 -9.171239745e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
12 +8.119335522e+01 +8.119335522e+01 -9.188066448e+02 -9.188066448e+02 +1.8519e+00 -4.8058e-02 -3.2390e-01 -1.8912e+00 -2.1856e+00 +1.8112e+00 -4.4266e-02 -2.3148e+00 +1.0923e+00 +1.7088e+00 +1.4716e+00 +2.1485e+00 -3.7618e-01 -1.6251e-01 -3.5042e-01 -1.4420e+00 +2.2743e+00 +1.4558e+00 -1.3383e+00 -2.6941e-01
30 +7.897634350e+01 +7.897634350e+01 -9.210236565e+02 -9.210236565e+02 -4.8254e-01 -1.1683e+00 +6.3901e-01 -1.2767e+00 -9.5014e-02 +2.8055e+00 +6.6383e-01 -2.7410e+00 +5.6250e-01 +1.5057e+00 +4.0876e+00 +7.9702e-01 -2.8433e-01 -1.3796e+00 -6.5751e-02 -2.7645e+00 +1.0364e+00 +3.9216e+00 -1.5584e+00 +1.2073e+00
33 +7.650212473e+01 +7.650212473e+01 -9.234978753e+02 -9.234978753e+02 -2.5115e+00 -1.1277e+00 +9.4110e-01 -2.4069e+00 -1.3501e+00 +1.2317e+00 +2.3859e-01 -2.7434e+00 +3.2300e-01 +1.1304e+00 +4.6711e+00 +1.6599e+00 -5.3005e-01 -2.3984e-01 -7.8308e-01 -2.5808e+00 +3.7265e-01 +3.6007e+00 -1.6594e+00 +1.5334e+00
42 +7.550936426e+01 +7.550936426e+01 -9.244906357e+02 -9.244906357e+02 -2.5530e+00 -2.4325e+00 +2.2076e+00 -2.0260e+00 -9.8795e-01 +8.6977e-02 +1.1168e-01 -3.5367e+00 +1.1320e+00 +4.8122e-01 +6.9666e+00 +6.8228e-01 +2.1467e-01 -6.2743e-01 -7.4504e-01 -2.4831e+00 -7.0535e-01 +3.1500e+00 -1.5264e-01 +7.4122e-01
124 +7.310350886e+01 +7.310350886e+01 -9.268964911e+02 -9.268964911e+02 -1.2737e+00 -1.4976e+00 -4.6871e-01 -3.2819e+00 -2.1318e+00 +5.7284e-01 -1.3910e+00 -2.5517e+00 +9.7268e-01 +1.2572e+00 +2.5648e+00 +5.4926e-02 +1.3195e-01 +2.5856e+00 -9.2419e-01 -5.4869e+00 +2.4202e+00 +3.3058e+00 +2.7227e+00 -1.5881e+00
143 +6.937856845e+01 +6.937856845e+01 -9.306214316e+02 -9.306214316e+02 -2.5273e+00 -1.5403e+00 -1.9939e+00 -3.0674e+00 +5.1660e-01 -1.8221e+00 -1.4584e-01 -3.2174e+00 +5.8206e-01 +2.4427e+00 +2.7334e+00 +1.6291e+00 +1.0926e-01 +1.7895e-01 -1.3466e-02 -5.0272e+00 +2.3781e+00 +3.9521e+00 +3.2672e+00 -2.3514e+00
185 +6.743905785e+01 +6.743905785e+01 -9.325609422e+02 -9.325609422e+02 -2.0556e+00 -3.1965e+00 +3.0605e+00 -1.9689e+00 +2.0130e+00 -7.7504e-01 -1.4536e+00 -4.1118e+00 +1.1938e+00 +2.9411e+00 +4.3157e+00 +1.3529e+00 -1.3396e+00 -3.8261e-01 -2.3555e+00 -3.4336e+00 +4.8655e-01 +2.7570e+00 +1.0799e-01 -5.2697e+00
193 +6.585231798e+01 +6.585231798e+01 -9.341476820e+02 -9.341476820e+02 -1.6251e+00 -3.7480e+00 +2.6571e+00 -1.7772e+00 +1.6765e+00 -2.0079e+00 -1.0830e+00 -2.9270e+00 +2.3039e+00 +3.1394e+00 +4.7595e+00 +1.0832e+00 +2.6509e-01 +9.5880e-01 -1.9436e+00 -2.9690e+00 +7.8471e-01 +3.1752e+00 -7.2988e-01 -5.3933e+00
253 +5.974035335e+01 +5.974035335e+01 -9.402596466e+02 -9.402596466e+02 -1.4787e+00 -3.0114e+00 +1.7065e+00 -4.9238e+00 -4.4618e-02 -2.0297e-01 -9.7624e-01 -3.0810e+00 +3.3026e+00 +2.4072e+00 +3.8401e+00 -2.5551e-01 -1.8777e-01 +8.3270e-01 -8.7027e-01 -4.5876e+00 +1.0243e+00 +2.8438e+00 -2.0628e+00 -4.0113e+00
