% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1523 +4.566021883e+02 +4.566021883e+02 +4.865721883e+02 +4.865721883e+02 +5.6942e-01 -2.6930e+00 -3.1392e+00 -1.8249e+00 +2.4165e+00 +3.8061e+00 -2.3942e+00 -3.5382e+00 +2.4349e+00 -2.2288e+00 +2.7601e+00 -2.0017e+00 +4.3968e+00 +2.5643e+00 -1.7911e+00 +2.1313e+00 -2.8510e+00 -1.3201e+00 +9.8050e-01 -3.0012e+00
2612 +4.295751839e+02 +4.295751839e+02 +4.595451839e+02 +4.595451839e+02 +4.1087e-01 -2.4115e-01 -3.7266e+00 -1.6699e+00 +2.5493e+00 +1.9134e+00 -4.5317e+00 -3.9218e+00 -1.2212e+00 -1.8578e+00 +4.8640e-01 -1.3244e+00 +3.8225e+00 +1.8089e+00 -1.3555e+00 +2.0485e+00 -2.9298e+00 +4.0635e-01 +1.3570e+00 -3.4367e+00
3754 +4.145214241e+02 +4.145214241e+02 +4.444914241e+02 +4.444914241e+02 +1.0660e+00 -1.6284e+00 -3.8865e+00 -1.7941e+00 +2.6557e+00 +3.9731e+00 -4.0568e+00 -1.7922e+00 +8.4154e-01 -2.0096e+00 +1.8225e+00 -1.3658e+00 +3.9527e+00 +3.2351e+00 -2.2827e+00 +1.3212e+00 -1.5957e+00 -2.1534e+00 +1.4534e+00 -3.1549e+00
3799 +3.361423511e+02 +3.361423511e+02 +3.661123511e+02 +3.661123511e+02 +7.3673e-01 -7.6670e-01 -4.4530e+00 -1.1341e+00 +3.2621e+00 +3.6877e+00 -3.4656e+00 -1.8354e+00 +6.8500e-01 -2.4738e+00 +9.0345e-01 -1.5407e+00 +3.3369e+00 +2.5741e+00 -1.5448e+00 +1.7156e+00 -1.8064e+00 -1.3125e+00 +1.3162e+00 -2.9778e+00
4555 +2.886330857e+02 +2.886330857e+02 +3.186030857e+02 +3.186030857e+02 +9.9255e-01 -1.5756e+00 -3.5317e+00 -2.0115e+00 +3.3143e+00 +4.1191e+00 -3.2643e+00 -1.8541e+00 +1.3041e+00 -1.5102e+00 +2.0088e+00 -1.8752e+00 +3.8246e+00 +2.0551e+00 -1.8808e+00 +2.0925e+00 -1.4072e+00 -2.1593e+00 +2.0855e+00 -2.5050e+00
5766 +2.593888317e+02 +2.593888317e+02 +2.893588317e+02 +2.893588317e+02 +1.0749e+00 -1.6335e+00 -4.4539e+00 -1.8671e+00 +3.3980e+00 +3.9550e+00 -3.4559e+00 -2.0415e+00 +1.0474e+00 -2.4515e+00 +1.0533e+00 -1.8276e+00 +3.9703e+00 +2.4984e+00 -1.4357e+00 +2.4133e+00 -2.7914e+00 -1.3564e+00 +1.6221e+00 -2.9625e+00
5866 +2.364599802e+02 +2.364599802e+02 +2.664299802e+02 +2.664299802e+02 +5.8046e-02 -2.2717e+00 -3.2921e+00 -2.0719e+00 +3.0844e+00 +4.0707e+00 -3.3837e+00 -2.5806e+00 +9.2184e-01 -1.4623e+00 +1.6031e+00 -1.9151e+00 +4.1661e+00 +2.4520e+00 -1.4194e+00 +2.7818e+00 -2.4487e+00 -1.9628e+00 +1.2817e+00 -3.1476e+00
6405 +2.164564680e+02 +2.164564680e+02 +2.464264680e+02 +2.464264680e+02 +9.5669e-01 -2.3923e+00 -3.6171e+00 -1.7816e+00 +2.5781e+00 +3.2817e+00 -3.7631e+00 -2.6408e+00 +9.0884e-01 -1.8964e+00 +1.6394e+00 -1.5258e+00 +3.9502e+00 +2.6702e+00 -1.5499e+00 +2.7736e+00 -2.3460e+00 -1.2710e+00 +2.1112e+00 -3.3720e+00
7365 +1.926565623e+02 +1.926565623e+02 +2.226265623e+02 +2.226265623e+02 +9.7372e-01 -1.9847e+00 -3.1463e+00 -1.9538e+00 +3.2719e+00 +3.5670e+00 -4.1047e+00 -2.5154e+00 +3.6192e-01 -1.9572e+00 +1.3504e+00 -1.5917e+00 +4.0252e+00 +2.3898e+00 -1.4918e+00 +2.6455e+00 -2.8553e+00 -1.3797e+00 +2.0056e+00 -3.1409e+00
7439 +1.863194298e+02 +1.863194298e+02 +2.162894298e+02 +2.162894298e+02 +2.0730e-01 -2.3155e+00 -3.6108e+00 -1.7776e+00 +2.7818e+00 +3.4762e+00 -3.7283e+00 -2.4825e+00 +9.3335e-01 -1.5581e+00 +1.4541e+00 -1.8190e+00 +4.3964e+00 +2.7784e+00 -1.6297e+00 +2.9158e+00 -2.4921e+00 -1.3243e+00 +1.5874e+00 -3.0466e+00
7698 +1.841367653e+02 +1.841367653e+02 +2.141067653e+02 +2.141067653e+02 +9.0612e-01 -1.6560e+00 -3.5825e+00 -1.8306e+00 +2.8596e+00 +3.1171e+00 -3.2446e+00 -2.3583e+00 +8.9906e-01 -1.7261e+00 +1.3879e+00 -1.5907e+00 +4.2112e+00 +2.7761e+00 -1.2995e+00 +2.7363e+00 -2.4736e+00 -6.1317e-01 +1.2839e+00 -2.9539e+00
8088 +1.676741032e+02 +1.676741032e+02 +1.976441032e+02 +1.976441032e+02 +4.2547e-01 -1.6041e+00 -3.8622e+00 -1.7959e+00 +2.9033e+00 +3.5163e+00 -3.2321e+00 -2.7573e+00 +1.1867e+00 -1.9707e+00 +1.8864e+00 -1.7452e+00 +4.3441e+00 +2.7900e+00 -1.7974e+00 +2.8287e+00 -2.6736e+00 -1.0758e+00 +1.2894e+00 -3.3561e+00
8511 +1.618416305e+02 +1.618416305e+02 +1.918116305e+02 +1.918116305e+02 +1.1115e+00 -1.8169e+00 -4.1231e+00 -2.0435e+00 +2.9959e+00 +3.7653e+00 -3.8532e+00 -2.5458e+00 +1.0606e+00 -2.0059e+00 +1.3739e+00 -1.7410e+00 +4.0095e+00 +2.5219e+00 -1.5051e+00 +3.2524e+00 -2.4680e+00 -1.3872e+00 +1.3976e+00 -3.5310e+00
8570 +1.273780846e+02 +1.273780846e+02 +1.573480846e+02 +1.573480846e+02 +6.1729e-01 -1.6073e+00 -3.7450e+00 -1.8224e+00 +3.1217e+00 +3.3211e+00 -3.7544e+00 -2.5889e+00 +1.1153e+00 -1.7133e+00 +1.8620e+00 -1.7621e+00 +4.1720e+00 +2.2401e+00 -1.6000e+00 +2.4900e+00 -2.4153e+00 -8.4260e-01 +1.2150e+00 -3.1360e+00
10476 +1.116055292e+02 +1.116055292e+02 +1.415755292e+02 +1.415755292e+02 +8.2013e-01 -1.7553e+00 -3.5804e+00 -2.0196e+00 +3.0526e+00 +3.2774e+00 -3.6204e+00 -3.1009e+00 +1.1281e+00 -1.9550e+00 +1.3649e+00 -1.5707e+00 +4.2541e+00 +2.3153e+00 -1.3423e+00 +2.9880e+00 -2.8233e+00 -1.0691e+00 +1.5218e+00 -3.1925e+00
10762 +9.393301525e+01 +9.393301525e+01 +1.239030152e+02 +1.239030152e+02 +5.5853e-01 -1.8440e+00 -3.8154e+00 -1.7872e+00 +3.0435e+00 +3.5124e+00 -3.9538e+00 -2.6663e+00 +1.0386e+00 -1.5561e+00 +1.5890e+00 -1.6116e+00 +4.3257e+00 +2.4825e+00 -1.5720e+00 +2.8120e+00 -2.4772e+00 -1.3498e+00 +1.4057e+00 -3.1748e+00
11240 +8.920030870e+01 +8.920030870e+01 +1.191703087e+02 +1.191703087e+02 +7.5536e-01 -1.6136e+00 -3.4936e+00 -2.0138e+00 +3.1794e+00 +3.4287e+00 -3.9874e+00 -2.9790e+00 +8.1170e-01 -1.6046e+00 +1.3168e+00 -1.7694e+00 +4.1328e+00 +2.2185e+00 -1.7146e+00 +2.7672e+00 -2.6980e+00 -7.3437e-01 +1.4800e+00 -3.2583e+00
11332 +8.847515424e+01 +8.847515424e+01 +1.184451542e+02 +1.184451542e+02 +8.1648e-01 -2.0582e+00 -3.6591e+00 -2.1004e+00 +3.1199e+00 +3.4137e+00 -4.0064e+00 -2.8948e+00 +1.0114e+00 -1.7717e+00 +1.4167e+00 -1.7918e+00 +4.2209e+00 +2.3265e+00 -1.4969e+00 +2.7926e+00 -2.6442e+00 -1.2871e+00 +1.5641e+00 -3.0977e+00
11725 +7.783916354e+01 +7.783916354e+01 +1.078091635e+02 +1.078091635e+02 +7.1368e-01 -1.5716e+00 -3.6677e+00 -1.9421e+00 +3.0934e+00 +3.3169e+00 -4.0169e+00 -2.9546e+00 +9.1564e-01 -1.7686e+00 +1.2802e+00 -1.7864e+00 +4.1167e+00 +2.3648e+00 -1.3287e+00 +2.5887e+00 -2.3907e+00 -9.9532e-01 +1.6291e+00 -3.4154e+00
12049 +7.183847893e+01 +7.183847893e+01 +1.018084789e+02 +1.018084789e+02 +8.0739e-01 -1.8643e+00 -3.5980e+00 -1.8909e+00 +3.0851e+00 +3.1294e+00 -3.8380e+00 -2.9086e+00 +8.6675e-01 -1.5969e+00 +1.2765e+00 -1.4940e+00 +4.1872e+00 +2.3248e+00 -1.4791e+00 +2.7468e+00 -2.5337e+00 -9.7521e-01 +1.4849e+00 -3.2481e+00
12315 +6.493010828e+01 +6.493010828e+01 +9.490010828e+01 +9.490010828e+01 +8.8828e-01 -1.6091e+00 -3.7872e+00 -1.8647e+00 +3.1693e+00 +3.3222e+00 -3.9062e+00 -3.0041e+00 +8.9823e-01 -1.6425e+00 +1.1572e+00 -1.6750e+00 +4.0193e+00 +2.3446e+00 -1.6110e+00 +2.6109e+00 -2.5994e+00 -7.0797e-01 +1.5230e+00 -3.3650e+00
13225 +6.436710822e+01 +6.436710822e+01 +9.433710822e+01 +9.433710822e+01 +7.3043e-01 -1.7161e+00 -3.5988e+00 -1.9190e+00 +3.0772e+00 +3.4285e+00 -3.8918e+00 -2.7593e+00 +7.6903e-01 -1.5610e+00 +1.2565e+00 -1.6763e+00 +3.9556e+00 +2.2412e+00 -1.5168e+00 +2.7625e+00 -2.7747e+00 -9.7474e-01 +1.4437e+00 -3.3558e+00
