% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.756574751e+03 +1.756574751e+03 +1.849514751e+03 +1.849514751e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.478796719e+03 +1.478796719e+03 +1.571736719e+03 +1.571736719e+03 -2.2323e+00 +5.2003e-01 -7.6008e-01 -1.0132e+00 +4.7242e-03 +8.4068e-01 +1.0825e+00 -1.1842e-01 +7.9979e-01 -6.4645e-01 -7.7195e-01 -7.5619e-01 -4.5774e-01 -4.1888e-01 +1.5158e+00 +3.1208e-01 +3.4290e-01 +9.8211e-01 +6.2514e-01 +1.7083e-01
5 +1.400362346e+03 +1.400362346e+03 +1.493302346e+03 +1.493302346e+03 -6.6496e-01 +5.7632e-01 -6.4595e-01 +4.3314e-01 +2.0221e+00 +2.0339e+00 -2.5328e-01 +9.5296e-01 -1.5052e+00 +8.5498e-01 +8.8499e-01 -9.6574e-01 +3.1828e-02 +1.3297e+00 +1.8098e+00 +7.0309e-01 +2.0822e-01 +3.6277e-01 -1.5589e-01 +1.0595e+00
12 +1.279352288e+03 +1.279352288e+03 +1.372292288e+03 +1.372292288e+03 -5.0165e-01 -1.1319e+00 -6.6245e-01 +1.9225e+00 +1.9010e+00 +1.1770e+00 -1.3506e+00 +5.3233e-01 -6.6340e-01 -6.4325e-02 +1.0250e+00 -1.4692e+00 -1.5907e+00 +1.3523e+00 +1.2796e+00 +2.4526e+00 +7.6066e-01 -5.5420e-01 +9.4933e-01 +7.7135e-01
20 +1.166671202e+03 +1.166671202e+03 +1.259611202e+03 +1.259611202e+03 +6.4362e-01 +4.5079e-01 -2.7061e+00 +3.5272e-01 +1.8427e+00 +3.5745e+00 -7.5480e-01 +1.8482e+00 -2.2834e+00 +8.3657e-01 +5.9480e-01 +1.9371e-01 +2.1657e+00 +2.4347e+00 -2.4148e-01 +1.6332e+00 +3.2936e+00 +2.4253e-01 -1.7974e+00 +3.2358e-01
26 +1.032502791e+03 +1.032502791e+03 +1.125442791e+03 +1.125442791e+03 +1.9078e-01 +2.1557e+00 -1.5380e-02 +1.4716e+00 +2.0995e+00 +6.2676e+00 -2.4378e+00 +2.0524e+00 -1.6717e+00 +1.6172e+00 +3.6980e+00 -1.1678e+00 +2.9175e+00 +2.2445e+00 -7.8629e-01 +2.4354e+00 +3.5518e+00 -1.4801e+00 -3.5817e+00 +1.7268e+00
29 +9.463524024e+02 +9.463524024e+02 +1.039292402e+03 +1.039292402e+03 +6.4549e-01 +6.7985e-01 -2.7349e+00 +1.6574e+00 +2.0203e+00 +3.4006e+00 -3.3286e-01 +1.4045e+00 -2.7396e+00 -5.5701e-01 +7.4032e-03 -9.7824e-01 +3.5373e+00 +2.1931e+00 +1.8868e-01 +2.2299e+00 +3.8688e+00 +1.4876e+00 -2.8312e+00 -1.1701e+00
30 +7.675624006e+02 +7.675624006e+02 +8.605024006e+02 +8.605024006e+02 +1.1196e+00 -1.9676e+00 -3.1693e+00 +1.0601e+00 +1.8614e+00 +3.1865e+00 -4.2036e-02 +2.2696e+00 -1.5454e+00 -2.0012e-01 -1.6737e-01 +4.7857e-01 +1.2602e+00 +2.5628e+00 -1.2666e+00 +2.5317e+00 +5.1655e+00 -7.0305e-01 -2.2165e+00 -6.4916e-01
42 +7.420394636e+02 +7.420394636e+02 +8.349794636e+02 +8.349794636e+02 +1.7951e+00 -1.6534e+00 -3.8376e+00 +6.5316e-01 +4.5223e-02 +1.7076e+00 +1.0958e+00 +6.4216e-01 -1.4717e+00 +5.5758e-01 -1.2601e+00 -3.1846e-01 +9.5595e-01 +2.6214e+00 -2.9269e+00 +8.1704e-01 +7.1973e+00 -1.1487e+00 -1.1602e+00 -1.2154e+00
49 +7.082687858e+02 +7.082687858e+02 +8.012087858e+02 +8.012087858e+02 +4.2521e-01 -2.5888e+00 -2.3004e+00 +1.3272e+00 +1.3861e+00 +2.5542e+00 +2.5145e+00 +1.5955e+00 -2.2237e+00 -2.2944e-03 +9.7281e-02 -7.1150e-01 +2.7850e+00 +4.2107e+00 -2.7147e+00 +1.4473e+00 +6.7021e+00 -1.6645e+00 -1.6449e+00 -2.6369e+00
