% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
807 +2.316131339e+02 +2.316131339e+02 -2.304768661e+02 -2.304768661e+02 -7.9861e-01 +2.1659e+00 +3.9169e+00 +1.5744e+00 -6.5370e-01 +3.6261e+00 +1.7015e+00 +3.0535e+00 +2.3112e+00 +1.8469e+00 -2.7617e+00 -5.1461e+00 +4.9938e-01 -4.1178e+00 -1.8786e+00 -3.5687e+00 -1.3753e-02 +4.3204e+00 -1.9553e+00 +2.4629e+00
809 +2.258234250e+02 +2.258234250e+02 -2.362665750e+02 -2.362665750e+02 -2.7406e+00 +1.0519e+00 +3.0007e+00 -7.4377e-01 -2.5231e+00 +3.7240e+00 +2.5297e+00 +2.5732e+00 +1.2302e+00 -4.0662e-01 -2.1507e+00 -3.8277e+00 +6.9177e-01 -2.5923e+00 -1.4647e+00 -3.3013e+00 +1.0199e+00 +2.6724e+00 -2.2699e+00 +1.5869e+00
1402 +2.192402942e+02 +2.192402942e+02 -2.428497058e+02 -2.428497058e+02 -3.0341e+00 -1.1040e+00 +7.8740e-01 +3.9169e+00 +3.2592e+00 +3.3886e+00 +1.8083e+00 +9.8245e-01 +1.9577e+00 -5.6129e-01 -2.6726e+00 -5.0275e+00 +7.8629e-01 -2.4397e+00 -1.3896e+00 -3.5426e+00 -1.0541e+00 +2.2443e+00 -2.6081e+00 +1.5119e+00
1473 +2.005923301e+02 +2.005923301e+02 -2.614976699e+02 -2.614976699e+02 -1.2781e+00 -1.4817e+00 -9.6254e-02 +2.8576e+00 +9.0765e-01 +1.6778e+00 +2.1112e+00 +1.8573e+00 +2.7923e+00 -4.8969e-02 -3.8514e+00 -3.2829e+00 -2.7744e-01 -2.4282e+00 -4.8296e-01 -2.8623e+00 -1.2374e+00 +2.9018e+00 -2.3869e+00 +2.1712e+00
2177 +1.909373505e+02 +1.909373505e+02 -2.711526495e+02 -2.711526495e+02 -4.2527e-01 -2.0907e+00 +4.7068e+00 -9.6733e-01 +9.0221e-01 +9.1337e-01 +2.6439e+00 -1.0744e-01 +6.7831e-01 -7.7928e-02 -3.4588e+00 -4.8154e+00 -1.4213e+00 -1.9958e+00 -1.7605e+00 -2.8205e+00 -1.7096e-01 +2.3264e+00 -2.8568e+00 +1.8541e+00
4624 +1.721381749e+02 +1.721381749e+02 -2.899518251e+02 -2.899518251e+02 -4.6945e+00 +5.0706e+00 +2.2048e+00 +8.6953e-01 +2.3890e+00 +3.1645e+00 +2.3158e+00 +1.9626e+00 +2.0373e+00 -1.0919e+00 -2.7798e+00 -3.3087e+00 -1.2745e+00 -3.4025e+00 -1.7021e+00 -2.8587e+00 +7.7200e-02 +3.1860e+00 -2.3868e+00 +1.7982e+00
5329 +1.603143996e+02 +1.603143996e+02 -3.017756004e+02 -3.017756004e+02 -4.4384e+00 +3.0376e+00 +2.8906e+00 +3.8672e+00 +1.3335e+00 +2.2632e+00 +2.5149e+00 +2.5395e+00 +2.9371e+00 -3.8828e-01 -2.1911e+00 -2.1855e+00 -1.1573e+00 -3.5617e+00 -1.9354e+00 -4.0277e+00 -4.3776e-01 +2.9713e+00 -3.0849e+00 +1.9977e+00
5350 +1.573744284e+02 +1.573744284e+02 -3.047155716e+02 -3.047155716e+02 -3.4413e+00 +5.2330e+00 +4.0237e+00 +2.1858e+00 +5.8995e-01 +6.8559e-01 +3.2114e+00 +2.1232e+00 +2.3541e+00 -1.6244e+00 -2.7962e+00 -2.3326e+00 -1.1173e+00 -4.0088e+00 -1.7113e+00 -4.3161e+00 +8.6947e-03 +3.2500e+00 -2.8533e+00 +1.8416e+00
5522 +1.543104587e+02 +1.543104587e+02 -3.077795413e+02 -3.077795413e+02 -5.9426e+00 +5.0331e+00 +3.1638e+00 +1.7768e+00 +3.0306e+00 +3.7149e+00 +3.9885e+00 +7.5525e-01 +1.3221e+00 -3.9852e-01 -2.6649e+00 -4.4875e+00 -2.0169e-01 -4.2072e+00 -9.7861e-01 -3.5202e+00 +3.1650e-01 +3.2950e+00 -3.1509e+00 +1.8295e+00
16503 +1.302858945e+02 +1.302858945e+02 -3.318041055e+02 -3.318041055e+02 -4.0743e+00 +1.0637e+00 +2.3006e+00 +1.6823e+00 +4.0347e+00 +8.7551e-01 +1.8219e+00 +2.7186e+00 +2.4835e+00 +1.1102e+00 -1.7051e+00 -4.4201e+00 +3.2855e-01 -3.9736e+00 -1.7349e+00 -3.9529e+00 -2.1426e-02 +3.1751e+00 -3.5848e+00 +2.1388e+00
