% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.386956331e+02 +1.386956331e+02 +2.413056331e+02 +2.413056331e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.172508932e+02 +1.172508932e+02 +2.198608932e+02 +2.198608932e+02 -1.4571e-01 -1.4659e-01 -1.2981e+00 +5.3946e-01 -1.4442e-01 +1.5116e+00 +5.7772e-01 -5.5375e-01 +3.9511e-01 +1.5609e+00
18 +1.075660923e+02 +1.075660923e+02 +2.101760923e+02 +2.101760923e+02 -7.7185e-01 -2.6015e+00 -1.5385e+00 +1.5096e+00 +1.0058e+00 +1.0953e+00 +2.9270e+00 -2.1407e+00 +8.7830e-01 +9.1650e-01
123 +1.065219357e+02 +1.065219357e+02 +2.091319357e+02 +2.091319357e+02 -3.1292e+00 -3.7654e-01 -1.0497e-01 -2.6962e-01 -8.3845e-01 -2.4737e-01 +9.0989e-01 +2.8437e-01 -2.9071e-01 +1.9663e+00
400 +1.001435060e+02 +1.001435060e+02 +2.027535060e+02 +2.027535060e+02 +3.8196e-01 -1.2868e+00 -1.7604e+00 +9.3332e-01 -7.9803e-01 +1.0224e+00 +8.7657e-02 -3.1269e+00 +2.2541e-01 +9.9133e-01
430 +9.921297906e+01 +9.921297906e+01 +2.018229791e+02 +2.018229791e+02 +4.4455e-01 -8.2076e-01 -8.6570e-01 +8.4813e-01 -1.5672e+00 +1.7022e+00 +1.7671e+00 -1.9403e+00 +2.7453e-02 -3.2767e-01
449 +9.399206430e+01 +9.399206430e+01 +1.966020643e+02 +1.966020643e+02 +1.9359e+00 -1.4647e+00 -4.6040e-01 +1.2106e+00 -1.4469e+00 +3.4992e+00 +1.1172e+00 -1.7465e+00 +2.1048e-02 +8.0271e-01
782 +8.579165860e+01 +8.579165860e+01 +1.884016586e+02 +1.884016586e+02 -1.0741e+00 -1.0194e+00 -2.7621e+00 +2.5737e+00 -1.6175e+00 +2.4324e-01 +2.7755e+00 -2.1188e-01 +1.3867e+00 +1.1886e+00
833 +8.500131163e+01 +8.500131163e+01 +1.876113116e+02 +1.876113116e+02 -2.5968e+00 -2.1852e+00 -1.7820e+00 +2.7540e+00 -2.2847e+00 +1.9027e-01 +2.1247e+00 -3.1023e-01 +1.2517e+00 +4.5447e-01
976 +8.084066933e+01 +8.084066933e+01 +1.834506693e+02 +1.834506693e+02 -3.1930e+00 +5.2814e-01 -1.2380e+00 -4.0838e-02 -2.6256e-01 +1.9117e+00 +1.7908e+00 -2.6412e+00 -1.9254e-01 +1.4117e+00
1371 +5.681451566e+01 +5.681451566e+01 +1.594245157e+02 +1.594245157e+02 -1.6330e+00 -1.3223e+00 -2.1045e+00 +1.5684e+00 -1.8473e+00 +5.2529e-01 +1.3745e+00 -1.3870e+00 +2.1279e+00 +2.6863e+00
11575 +5.529178911e+01 +5.529178911e+01 +1.579017891e+02 +1.579017891e+02 -2.0564e+00 -2.2869e+00 -1.9430e+00 +2.6651e+00 -1.9105e+00 +1.8056e+00 +2.0076e+00 -2.0212e+00 +1.8217e+00 +2.1785e-01
14722 +5.250127978e+01 +5.250127978e+01 +1.551112798e+02 +1.551112798e+02 -2.5179e+00 -1.5975e+00 -1.2495e+00 +1.7163e+00 -9.4467e-01 +8.6496e-01 +2.4467e+00 -2.2514e+00 +2.2288e+00 +6.7369e-01
19007 +5.078059642e+01 +5.078059642e+01 +1.533905964e+02 +1.533905964e+02 -1.6622e+00 -1.3155e+00 -1.5645e+00 +1.8424e+00 -1.1072e+00 +2.2459e+00 +1.2981e+00 -1.2345e+00 +2.7439e+00 +1.9115e+00
38095 +3.763951960e+01 +3.763951960e+01 +1.402495196e+02 +1.402495196e+02 -8.6136e-01 -1.4031e+00 -1.1715e+00 +1.4667e+00 -6.9600e-01 +4.3827e-01 +1.1840e+00 -1.1271e+00 +2.1329e+00 +2.3171e+00
66183 +2.934540656e+01 +2.934540656e+01 +1.319554066e+02 +1.319554066e+02 -3.3027e+00 -1.4498e+00 -1.2341e+00 +1.6735e+00 -1.2229e+00 +1.2889e+00 +2.1401e+00 -1.8785e+00 +1.2381e+00 +2.0930e+00
67506 +2.590759396e+01 +2.590759396e+01 +1.285175940e+02 +1.285175940e+02 -3.3338e+00 -1.4593e+00 -1.2017e+00 +1.7592e+00 -1.1837e+00 +1.2751e+00 +2.1379e+00 -1.7042e+00 +1.3338e+00 +2.1769e+00
67559 +2.414926064e+01 +2.414926064e+01 +1.267592606e+02 +1.267592606e+02 -3.3318e+00 -1.4592e+00 -1.1966e+00 +1.7615e+00 -1.1808e+00 +1.2689e+00 +2.1437e+00 -1.6925e+00 +1.3395e+00 +2.1789e+00
68186 +2.344730171e+01 +2.344730171e+01 +1.260573017e+02 +1.260573017e+02 -3.3239e+00 -1.4620e+00 -1.1951e+00 +1.7668e+00 -1.1890e+00 +1.2713e+00 +2.1443e+00 -1.7015e+00 +1.3312e+00 +2.1826e+00
69076 +2.329645245e+01 +2.329645245e+01 +1.259064525e+02 +1.259064525e+02 -3.3267e+00 -1.4659e+00 -1.1893e+00 +1.7780e+00 -1.1920e+00 +1.2690e+00 +2.1529e+00 -1.7006e+00 +1.3351e+00 +2.1866e+00
