% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3286 +6.764851790e-07 +6.764851790e-07 +3.590000068e+01 +3.590000068e+01 +2.7817e+00 +1.1135e+00 +2.5871e+00
3381 +6.332564411e-07 +6.332564411e-07 +3.590000063e+01 +3.590000063e+01 +2.7815e+00 +1.1135e+00 +2.5871e+00
3405 +6.207930952e-07 +6.207930952e-07 +3.590000062e+01 +3.590000062e+01 +2.7817e+00 +1.1134e+00 +2.5872e+00
3488 +4.004721390e-07 +4.004721390e-07 +3.590000040e+01 +3.590000040e+01 +2.7816e+00 +1.1136e+00 +2.5871e+00
3611 +2.602794069e-07 +2.602794069e-07 +3.590000026e+01 +3.590000026e+01 +2.7817e+00 +1.1135e+00 +2.5872e+00
3622 +2.077477248e-07 +2.077477248e-07 +3.590000021e+01 +3.590000021e+01 +2.7816e+00 +1.1135e+00 +2.5872e+00
3645 +5.666626635e-08 +5.666626635e-08 +3.590000006e+01 +3.590000006e+01 +2.7816e+00 +1.1136e+00 +2.5872e+00
3751 +5.490751676e-08 +5.490751676e-08 +3.590000005e+01 +3.590000005e+01 +2.7816e+00 +1.1136e+00 +2.5872e+00
3839 +5.205631481e-08 +5.205631481e-08 +3.590000005e+01 +3.590000005e+01 +2.7816e+00 +1.1136e+00 +2.5872e+00
4066 +2.386912712e-08 +2.386912712e-08 +3.590000002e+01 +3.590000002e+01 +2.7816e+00 +1.1136e+00 +2.5872e+00
4126 +2.114985875e-08 +2.114985875e-08 +3.590000002e+01 +3.590000002e+01 +2.7816e+00 +1.1136e+00 +2.5872e+00
4204 +1.343268963e-08 +1.343268963e-08 +3.590000001e+01 +3.590000001e+01 +2.7816e+00 +1.1136e+00 +2.5872e+00
4310 +1.059104449e-08 +1.059104449e-08 +3.590000001e+01 +3.590000001e+01 +2.7816e+00 +1.1136e+00 +2.5872e+00
4414 +3.135639304e-09 +3.135639304e-09 +3.590000000e+01 +3.590000000e+01 +2.7816e+00 +1.1136e+00 +2.5872e+00
7193 +0.000000000e+00 +0.000000000e+00 +3.590000000e+01 +3.590000000e+01 +2.7816e+00 +1.1136e+00 +2.5872e+00
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.057820710e+01 +6.057820710e+01 +9.194820710e+01 +9.194820710e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 +5.809476441e+01 +5.809476441e+01 +8.946476441e+01 +8.946476441e+01 +9.9288e-01 +1.1828e+00 -8.5778e-01
10 +2.544133920e+01 +2.544133920e+01 +5.681133920e+01 +5.681133920e+01 +2.1151e-01 +5.1895e-01 -1.7538e+00
13 +1.178426484e+01 +1.178426484e+01 +4.315426484e+01 +4.315426484e+01 -7.3176e-01 +5.3700e-01 -2.0579e+00
51 +1.063671269e+01 +1.063671269e+01 +4.200671269e+01 +4.200671269e+01 -5.2806e-01 +1.7638e+00 -2.1111e+00
54 +7.949571887e+00 +7.949571887e+00 +3.931957189e+01 +3.931957189e+01 -3.1071e-01 +2.6902e+00 -2.5441e+00
79 +4.505048187e+00 +4.505048187e+00 +3.587504819e+01 +3.587504819e+01 +1.6237e-01 +1.8542e+00 -3.2622e+00
89 +2.797801304e+00 +2.797801304e+00 +3.416780130e+01 +3.416780130e+01 -4.5586e-01 +1.2487e+00 -3.0423e+00
109 +1.363603601e+00 +1.363603601e+00 +3.273360360e+01 +3.273360360e+01 +2.7055e-01 +2.3241e+00 -3.9529e+00
233 +8.453577718e-01 +8.453577718e-01 +3.221535777e+01 +3.221535777e+01 +2.5546e-01 +2.3111e+00 -4.0963e+00
297 +7.753981932e-01 +7.753981932e-01 +3.214539819e+01 +3.214539819e+01 +1.1473e-01 +1.9952e+00 -3.9029e+00
390 +6.538392241e-01 +6.538392241e-01 +3.202383922e+01 +3.202383922e+01 -4.4145e-02 +1.9215e+00 -3.7762e+00
427 +4.235279931e-01 +4.235279931e-01 +3.179352799e+01 +3.179352799e+01 -2.7032e-01 +1.8638e+00 -3.6039e+00
445 +4.080460179e-01 +4.080460179e-01 +3.177804602e+01 +3.177804602e+01 -3.0180e-01 +2.1909e+00 -3.7006e+00
